10
1,Default Building Infiltration,               0,     0,     0,    0,    0,    0,     0,     0,    0,    0
2,Custom Infiltration,                         0,     0,     0,    0,    0,    0,     0,     0,    0,    0
3,TRNSYS/ASHRAE Tight infiltraion model,     0.1, 0.011, 0.034,    0,    0,    0,     0,     0,    0,    0
4,TRNSYS/ASHRAE Medium infiltraion model,    0.1, 0.017, 0.049,    0,    0,    0,     0,     0,    0,    0
5,TRNSYS/ASHRAE Light infiltraion model,     0.1, 0.023, 0.070,    0,    0,    0,     0,     0,    0,    0
6,Sherman-Grimsrud No Shielding,               0,     0,     0,  1.3,  0.1, 0.34,     0,     0,    0,    0
7,Sherman-Grimsrud Light Local shielding,      0,     0,     0,    1, 0.15,  0.3,     0,     0,    0,    0
8,Sherman-Grimsrud Moderate local shielding,   0,     0,     0, 0.85,  0.2, 0.25,     0,     0,    0,    0
9,Sherman-Grimsrud Heavy shielding,            0,     0,     0, 0.67, 0.25, 0.19,     0,     0,    0,    0
10,Sherman-Grimsrud Very heavy shielding,      0,     0,     0, 0.47, 0.35, 0.11,     0,     0,    0,    0
11,Walker-Wilson One Story No Shielding,       0,     0,     0,    0,    0,    0, 0.054, 0.156, 1.00, 0.48
12,Walker-Wilson One Story Isolated Building,  0,     0,     0,    0,    0,    0, 0.054, 0.156, 0.90, 0.48
13,Walker-Wilson One Story Bldgs Across St,    0,     0,     0,    0,    0,    0, 0.054, 0.156, 0.70, 0.48
14,Walker-Wilson One Story Urban Large Lots,   0,     0,     0,    0,    0,    0, 0.054, 0.156, 0.50, 0.48
15,Walker-Wilson One Story Typical Urban,      0,     0,     0,    0,    0,    0, 0.054, 0.156, 0.30, 0.48
