Weekday_Sensible Weekday_Latent Weekday_Occupancy Weekend_Sensible Weekend_Latent Weekend_Occupancy
0.00066551 0.00093371 1.0 0.00066551 0.00093371 1.0
0.00066136 0.00093229 1.0 0.00066136 0.00093229 1.0
0.00065732 0.00093091 1.0 0.00065732 0.00093091 1.0
0.00065337 0.00092956 1.0 0.00065337 0.00092956 1.0
0.00064952 0.00092823 1.0 0.00064952 0.00092823 1.0
0.00064577 0.00092694 1.0 0.00064577 0.00092694 1.0
0.00064211 0.00092567 1.0 0.00064211 0.00092567 1.0
0.00063855 0.00092443 1.0 0.00063855 0.00092443 1.0
0.00063509 0.00092322 1.0 0.00063509 0.00092322 1.0
0.00063173 0.00092204 1.0 0.00063173 0.00092204 1.0
0.00062846 0.00092088 1.0 0.00062846 0.00092088 1.0
0.00062529 0.00091976 1.0 0.00062529 0.00091976 1.0
0.00062222 0.00091866 1.0 0.00062222 0.00091866 1.0
0.00061925 0.00091759 1.0 0.00061925 0.00091759 1.0
0.00061637 0.00091655 1.0 0.00061637 0.00091655 1.0
0.00061359 0.00091554 1.0 0.00061359 0.00091554 1.0
0.00061091 0.00091456 1.0 0.00061091 0.00091456 1.0
0.00060832 0.0009136 1.0 0.00060832 0.0009136 1.0
0.00060583 0.00091268 1.0 0.00060583 0.00091268 1.0
0.00060344 0.00091178 1.0 0.00060344 0.00091178 1.0
0.00060115 0.00091091 1.0 0.00060115 0.00091091 1.0
0.00059896 0.00091007 1.0 0.00059896 0.00091007 1.0
0.00059686 0.00090926 1.0 0.00059686 0.00090926 1.0
0.00059486 0.00090848 1.0 0.00059486 0.00090848 1.0
0.00059295 0.00090772 1.0 0.00059295 0.00090772 1.0
0.00059115 0.00090699 1.0 0.00059115 0.00090699 1.0
0.00058944 0.0009063 1.0 0.00058944 0.0009063 1.0
0.00058783 0.00090563 1.0 0.00058783 0.00090563 1.0
0.00058632 0.00090499 1.0 0.00058632 0.00090499 1.0
0.0005849 0.00090437 1.0 0.0005849 0.00090437 1.0
0.00058358 0.00090379 1.0 0.00058358 0.00090379 1.0
0.00058236 0.00090323 1.0 0.00058236 0.00090323 1.0
0.00058124 0.00090271 1.0 0.00058124 0.00090271 1.0
0.00058021 0.00090221 1.0 0.00058021 0.00090221 1.0
0.00057928 0.00090174 1.0 0.00057928 0.00090174 1.0
0.00057845 0.0009013 1.0 0.00057845 0.0009013 1.0
0.00057771 0.00090088 1.0 0.00057771 0.00090088 1.0
0.00057708 0.0009005 1.0 0.00057708 0.0009005 1.0
0.00057654 0.00090014 1.0 0.00057654 0.00090014 1.0
0.00057609 0.00089981 1.0 0.00057609 0.00089981 1.0
