Desc,,BaseFile,Run,SinZone_bno,WeatherFile,ELA,ACTON,ACCFM,ANO,HUM_CNTL_type,Res_DNO,DSET,Humlo_0,Humhi_0,WCFM_H,HRV_eS,HRV_eL,VCFM,exh_cfm,HRV_CFM,HRV_W,fctyp5,ftim_ON5,ftim_OFF5,fctyp7,ftim_ON7,ftim_OFF7,ilck71,fctyp8,fctyp9,ftim_ON9,ftim_OFF9,ilck91,sduct_area,rduct_area,leaks,leakr,duct_Rval,SENS_DAILY,LATG_DAILY
z1h85s1rh50v1,,1449.TRD,2,34,Miami-FL,87.629633974,2.5,937.5,18,0,1,0,99,99,0.35,0.7,0.6,0,58,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z1h85s1rh50v2,,1449.TRD,3,34,Miami-FL,87.629633974,2.5,937.5,18,0,1,0,99,99,0.35,0.7,0.6,58,0,0,0,3,0.17,0.33,5,0.17,0.33,5,0,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z1h85s1rh50v3,,1449.TRD,4,34,Miami-FL,87.629633974,2.5,937.5,18,0,1,0,99,99,0.35,0.7,0.6,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.05,0,8,65430.0,16.9
z2h85s1rh50v1,,1449.TRD,5,39,Houston-TX,87.629633974,2.5,937.5,18,0,1,0,99,99,0.35,0.7,0.6,0,58,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z2h85s1rh50v2,,1449.TRD,6,39,Houston-TX,87.629633974,2.5,937.5,18,0,1,0,99,99,0.35,0.7,0.6,58,0,0,0,3,0.17,0.33,5,0.17,0.33,5,0,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z2h85s1rh50v3,,1449.TRD,7,39,Houston-TX,87.629633974,2.5,937.5,18,0,1,0,99,99,0.35,0.7,0.6,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.05,0,8,65430.0,16.9
z3h85s1rh50v1,,1449.TRD,8,44,Atlanta-GA,87.629633974,2,750,18,0,1,0,99,99,0.35,0.7,0.6,0,58,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z3h85s1rh50v2,,1449.TRD,9,44,Atlanta-GA,87.629633974,2,750,18,0,1,0,99,99,0.35,0.7,0.6,58,0,0,0,3,0.17,0.33,5,0.17,0.33,5,0,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z3h85s1rh50v3,,1449.TRD,10,44,Atlanta-GA,87.629633974,2,750,18,0,1,0,99,99,0.35,0.7,0.6,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.05,0,8,65430.0,16.9
z4h85s1rh50v1,,1449.TRD,11,49,Nashville-TN,87.629633974,2,750,18,0,1,0,99,99,0.35,0.75,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z4h85s1rh50v2,,1449.TRD,12,49,Nashville-TN,87.629633974,2,750,18,0,1,0,99,99,0.35,0.75,0,58,0,0,0,3,0.17,0.33,5,0.17,0.33,5,0,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z4h85s1rh50v3,,1449.TRD,13,49,Nashville-TN,87.629633974,2,750,18,0,1,0,99,99,0.35,0.75,0,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.05,0,8,65430.0,16.9
z5h85s1rh50v1,,1449.TRD,14,54,Indianapolis-IN,87.629633974,2,750,18,0,1,0,99,99,0.35,0.75,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z5h85s1rh50v2,,1449.TRD,15,54,Indianapolis-IN,87.629633974,2,750,18,0,1,0,99,99,0.35,0.75,0,58,0,0,0,3,0.17,0.33,5,0.17,0.33,5,0,0,0.0,0.0,0,544,100,0.05,0,8,65430.0,16.9
z5h85s1rh50v3,,1449.TRD,16,54,Indianapolis-IN,87.629633974,2,750,18,0,1,0,99,99,0.35,0.75,0,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.05,0,8,65430.0,16.9
